address,b_mianji,chaoxiang,dianti,display_total_price,gongnuan,huxing,huxing_jiegou,jianzhu_jiegou,jianzhu_leixing,louceng,niandai,sold_date,sold_total_price,t_mianji,traffic,unit_price,zhuangxiu
八角中里,58.35㎡          ,南   ,无           ,300挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,顶层(共6层)          ,1986 ,2019.01.06 成交,285万,40.92㎡         ,暂无数据,48844元/平,精装     
国风北京二期,121.24㎡          ,南 北   ,有           ,900挂牌价格（万）,自供暖        ,2室2厅1厨2卫        ,平层              ,钢混结构  ,板楼       ,低楼层(共14层)          ,2005 ,2019.01.06 成交,858万,97.94㎡         ,近地铁,70769元/平,精装     
苹果园小区二区,79.1㎡          ,西南   ,有           ,329挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,钢混结构  ,塔楼       ,高楼层(共16层)          ,1994 ,2019.01.06 成交,320万,55.44㎡         ,近地铁,40456元/平,简装     
三环新城7号院,42.15㎡          ,东   ,有           ,261挂牌价格（万）,自供暖        ,1室0厅1厨1卫        ,平层              ,钢混结构  ,板塔结合       ,高楼层(共29层)          ,2004 ,2019.01.06 成交,245万,33.99㎡         ,近地铁,58126元/平,精装     
西便门东里,43.24㎡          ,南   ,无           ,488挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,砖混结构  ,板楼       ,中楼层(共6层)          ,1979 ,2019.01.06 成交,450万,暂无数据         ,近地铁,104071元/平,其他     
石园西区,69.96㎡          ,南 北   ,无           ,280挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,低楼层(共6层)          ,1991 ,2019.01.06 成交,275万,47.63㎡         ,暂无数据,39309元/平,精装     
牛街东里,57.34㎡          ,西南   ,有           ,479挂牌价格（万）,集中供暖        ,1室1厅1厨1卫        ,平层              ,钢混结构  ,塔楼       ,中楼层(共19层)          ,1999 ,2019.01.06 成交,468万,37.89㎡         ,近地铁,81619元/平,精装     
卧龙小区,136.37㎡          ,南 北   ,有           ,950挂牌价格（万）,集中供暖        ,3室2厅1厨2卫        ,暂无数据              ,钢混结构  ,板塔结合       ,中楼层(共14层)          ,1998 ,2019.01.06 成交,910万,暂无数据         ,近地铁,66731元/平,精装     
六里桥小区,48.66㎡          ,南   ,无           ,256挂牌价格（万）,集中供暖        ,1室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,顶层(共5层)          ,1990 ,2019.01.06 成交,240.1万,41.38㎡         ,近地铁,49339元/平,精装     
国兴家园,143.07㎡          ,东北   ,有           ,1250挂牌价格（万）,集中供暖        ,3室1厅1厨2卫        ,平层              ,钢混结构  ,塔楼       ,低楼层(共24层)          ,2000 ,2019.01.06 成交,1170万,暂无数据         ,近地铁,81779元/平,精装     
六铺炕一区,76.1㎡          ,南 北   ,无           ,1045挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,中楼层(共6层)          ,1997 ,2019.01.06 成交,1008.5万,暂无数据         ,暂无数据,132523元/平,精装     
梅园,57.5㎡          ,南 北   ,无           ,450挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,低楼层(共6层)          ,1995 ,2019.01.06 成交,438万,暂无数据         ,近地铁,76174元/平,其他     
富锦嘉园四区,78.1㎡          ,南 北   ,无           ,450挂牌价格（万）,自供暖        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,底层(共7层)          ,2004 ,2019.01.06 成交,433万,71.24㎡         ,暂无数据,55442元/平,精装     
天通苑东一区,132.87㎡          ,南 北   ,无           ,425挂牌价格（万）,集中供暖        ,3室2厅1厨1卫        ,复式              ,混合结构  ,板楼       ,顶层(共6层)          ,2001 ,2019.01.06 成交,416万,113.2㎡         ,暂无数据,31309元/平,精装     
